kxrj,#genre#
潘朵拉,p3p://167.114.175.6:55331/5fe4450c000c918b829fca233c845311 
香蕉,p3p://167.114.175.6:55331/60626a760005067e6f5bbecb5816771e 
松1,p3p://167.114.175.6:55331/5fe445280008a40682a0367c343436bb 
松2,p3p://167.114.175.6:55331/60232b5f00007bc37850649979e379df 
松3,p3p://167.114.175.6:55331/6109e9590001f40bfd9b661109395f3b 
惊艳,p3p://167.114.175.6:55331/60626a1b00010e3e6f5a5a4f018e5ebe 
look,p3p://167.114.175.6:55331/606271190002a1266f75aaee0463186a 
happy,p3p://167.114.175.6:55331/616b79be000a35b17ab2f7b84c325eeb 
彩虹E,p3p://167.114.175.6:55331/6062716c0008efc86f76f0c44d55329f 
彩虹K,p3p://167.114.175.6:55331/63fd56ec000b5f0d26d4fe1b07963493 
彩虹电影,p3p://167.114.175.6:55331/6253066c00049259f74b05224cf375e6 
彩虹频道,p3p://167.114.175.6:55331/63fd589300099ff426db7203798a21f9 
极限电影,p3p://167.114.175.6:55331/6109e9bb0005fd87fd9ce5ea2c1f18d3 

潘朵拉,p3p://173.208.176.178:31809/5fe4450c000c918b829fca233c845311 
香蕉,p3p://173.208.176.178:31809/60626a760005067e6f5bbecb5816771e 
松视1,p3p://173.208.176.178:31809/5fe445280008a40682a0367c343436bb 
松视2,p3p://173.208.176.178:31809/60232b5f00007bc37850649979e379df 
松视3,p3p://173.208.176.178:31809/6109e9590001f40bfd9b661109395f3b 
惊艳,p3p://173.208.176.178:31809/60626a1b00010e3e6f5a5a4f018e5ebe 
look,p3p://173.208.176.178:31809/606271190002a1266f75aaee0463186a 
happy,p3p://173.208.176.178:31809/616b79be000a35b17ab2f7b84c325eeb 
彩虹E,p3p://173.208.176.178:31809/6062716c0008efc86f76f0c44d55329f 
彩虹K,p3p://173.208.176.178:31809/63fd56ec000b5f0d26d4fe1b07963493 
彩虹电影,p3p://173.208.176.178:31809/6253066c00049259f74b05224cf375e6 
彩虹频道,p3p://173.208.176.178:31809/63fd589300099ff426db7203798a21f9 
极限电影,p3p://173.208.176.178:31809/6109e9bb0005fd87fd9ce5ea2c1f18d3













驚艷臺,http://125.227.210.55:8156/VideoInput/play.ts 
香蕉臺,http://125.227.210.55:8159/VideoInput/play.ts
松视1台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476365.ts
松视1台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/639652.ts
松视2台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/639653.ts
潘朵拉,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/639649.ts


麻豆天美,p3p://173.208.176.178:31809/61bff85e00029535c4bd1c4f47fb5400
麻豆大番,p3p://173.208.176.178:31809/5fee099a000e4a8da8c7244c6ff632e3
麻豆导演,p3p://173.208.176.178:31809/5fee723900074e31aa5fcfa0561f1b95
麻豆外番,p3p://173.208.176.178:31809/5fee86ee0006ce80aab0b2811d842258
麻豆台湾,p3p://173.208.176.178:31809/5fef5ed40002a464adfc0be76180670f
果冻传媒,p3p://173.208.176.178:31809/5ff5420900039286c4fb220f4b133915
精东影业,p3p://173.208.176.178:31809/6135966100022f18a83512374f864fd8
大猫先生,p3p://173.208.176.178:31809/5fed7efe000093e8a6a9af6f691c7583
七天探花,p3p://173.208.176.178:31809/62ca5692000275f2c95644b27e04396b
91沈先生,p3p://173.208.176.178:31809/5fee5d4500060214aa0df631581d3164
鸭总探花,p3p://173.208.176.178:31809/5fee5d6300022e98aa0e6a660e9f6d9f
小宝寻花,p3p://173.208.176.178:31809/5fee940f000cad40aae3fce963f95891
午夜寻花,p3p://173.208.176.178:31809/5ff22f59000ea2d6b8fa255a1d4c635c
男爵探花,p3p://173.208.176.178:31809/62bf9f8c000c9a4c9f7bcb53499c786f
利哥探花1,p3p://173.208.176.178:31809/61b4e9970009588e998c4b9532e01f5f
利哥探花2,p3p://173.208.176.178:31809/64ebf4ae0000f1c2cae8c73738a337d4
